"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","bathymetry","resolution","tight","nBox","nTight","line_id","line_name","alt_station_id"
"33WA20111211","WS1118","Flow-through","300000","30",0,0,2011,12,13,"17:31:00",347.7299,25.3993,-82.2121,-999,1.5,"-999",22.25,23.24,22.94,36.24,36.246,-999,9,-999,-999,2071.7,2,2395.7,2,-999,-999,9,-999,-999,-999,-999,9,-82.2121,25.3993,25.1684474945068,7019,"no","yes","no","MI","Marco Island",NA
"33WA20111211","WS1118","Niskin","390102","39",1,2,2011,12,14,"4:54:00",348.2042,25.7825,-81.4812,-999,1.2,"-999",21.61,22.6,22.59,32.391,32.476,-999,9,-999,-999,2429.3,2,2729,2,-999,-999,9,-999,-999,-999,-999,9,-81.4812,25.7825,2.70936322212219,2148,"no","yes","no","EC","Everglades City",NA
"33WA20111211","WS1118","Niskin","390103","39",1,3,2011,12,14,"4:54:00",348.2042,25.7825,-81.4812,-999,1.2,"-999",21.61,22.61,22.59,32.383,32.476,-999,9,-999,-999,2435.4,2,2730.5,2,-999,-999,9,-999,-999,-999,-999,9,-81.4812,25.7825,2.70936322212219,2148,"no","yes","no","EC","Everglades City",NA
"33WA20111211","WS1118","Flow-through","500000","50",0,0,2011,12,14,"8:56:00",348.3722,25.4532,-81.3503,-999,1.5,"-999",21.73,22.72,22.71,34.497,34.511,-999,9,-999,-999,2173.1,2,2472.3,2,-999,-999,9,-999,-999,-999,-999,9,-81.3503,25.4532,5.20666646957397,2742,"no","yes","no","BR","Broad River",NA
"33WA20111211","WS1118","Niskin","500103","50",1,3,2011,12,14,"8:56:00",348.3722,25.4532,-81.3503,-999,1.2,"-999",21.73,22.72,22.71,34.498,34.511,-999,9,-999,-999,2180.9,2,2461.5,2,-999,-999,9,-999,-999,-999,-999,9,-81.3503,25.4532,5.20666646957397,2742,"no","yes","no","BR","Broad River",NA
"33WA20111211","WS1118","Niskin","540101","54",1,1,2011,12,14,"12:45:00",348.5313,25.3407,-81.1564,-999,1.3,"-999",22.01,22.97,22.67,29.189,29.103,-999,9,-999,-999,2878.9,6,3091.1,6,-999,-999,9,-999,-999,-999,-999,9,-81.1564,25.3407,2.24022269248962,945,"no","yes","no","SR","Shark River",NA
"33WA20111211","WS1118","Flow-through","570000","57",0,0,2011,12,14,"14:30:00",348.6042,25.3478,-81.2718,-999,1.5,"-999",21.58,22.57,22.58,33.446,33.439,-999,9,-999,-999,2269.6,2,2528.1,2,-999,-999,9,-999,-999,-999,-999,9,-81.2718,25.3478,3.75466084480286,2255,"no","yes","no","SR","Shark River",NA
"33WA20111211","WS1118","Niskin","600101","60",1,1,2011,12,14,"22:40:00",348.9444,25.165,-81.3389,-999,1.1,"-999",22,23,22.71,34.12,34.144,-999,9,-999,-999,2277.7,2,2536.8,2,-999,-999,9,-999,-999,-999,-999,9,-81.3389,25.165,6.1338005065918,3254,"no","yes","no","MC","Middle Cape",NA
"33WA20111211","WS1118","Flow-through","640000","64",0,0,2011,12,15,"0:23:00",349.016,25.1669,-81.1574,-999,1.5,"-999",22.24,23.23,23.23,30.513,30.501,-999,9,-999,-999,2877.7,2,3113.7,2,-999,-999,9,-999,-999,-999,-999,9,-81.1574,25.1669,2.99322700500488,452,"no","yes","no","MC","Middle Cape",NA
"33WA20111211","WS1118","Flow-through","640000","64",0,0,2011,12,15,"0:24:00",349.0167,25.1669,-81.1574,-999,1.5,"-999",22.24,23.23,23.23,30.502,30.501,-999,9,-999,-999,2869.2,2,3168.9,2,-999,-999,9,-999,-999,-999,-999,9,-81.1574,25.1669,2.99322700500488,452,"no","yes","no","MC","Middle Cape",NA
