"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","X.1","Y.1","bathymetry","resolution","line_id","line_name","alt_station_id"
"33WA20171009","WS17282","Niskin","5720101","57.2",1,1,2017,10,11,"21:34:00",284.8986,25.3494,-81.4908,8.3,1.5,"-999",29.02,29.32,29.32,34.306,34.314,-999,9,6.39,199.7,1886.3,2,2202.9,2,8.1644,8.0884,2,1.95,0.48,0.19,0.161,2,-81.4908,25.3494,-81.4908,25.3494,8.36661815643311,2945,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","5710101","57.1",1,1,2017,10,11,"23:02:00",284.9597,25.351,-81.3361,5.6,1.5,"-999",28.93,29.24,29.29,32.357,32.339,-999,9,6.51,203.4,1921.9,2,2249,2,8.1871,8.1108,2,7.02,0,0.93,0.127,2,-81.3361,25.351,-81.3361,25.351,5.5090446472168,2278,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","570101","57",1,1,2017,10,11,"23:52:00",284.9944,25.351,-81.2653,4.1,1.5,"-999",28.94,29.23,29.23,28.66,28.578,-999,9,7.07,220.9,2192.6,2,2517.7,2,8.2023,8.1256,2,12.25,0,0.78,0.118,2,-81.2653,25.351,-81.2653,25.351,3.75466084480286,2255,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","560101","56",1,1,2017,10,12,"0:28:00",285.0194,25.3487,-81.2293,3.3,1.5,"-999",28.82,29.12,29.11,27.905,27.775,-999,9,7.21,225.3,2304.9,2,2591.5,2,8.1132,8.0374,2,19.84,0,0.84,0.133,2,-81.2293,25.3487,-81.2293,25.3487,3.02198529243469,2337,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","550101","55",1,1,2017,10,12,"1:04:00",285.0444,25.3505,-81.1939,3,1.5,"-999",28.82,29.19,29.19,27.203,27.212,-999,9,5.67,177.2,2361.5,2,2637.5,2,8.114,8.0381,2,21.44,0,0.83,0.139,2,-81.1939,25.3505,-81.1939,25.3505,2.37362217903137,1572,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","540101","54",1,1,2017,10,12,"2:08:00",285.0889,25.344,-81.1534,3,1.5,"-999",29.35,29.36,29.64,18.647,18.762,-999,9,6.53,204.1,2604.2,4,2222.6,3,7.9964,7.9227,3,16.94,0,0.6,0.139,2,-81.1534,25.344,-81.1534,25.344,2.24022269248962,945,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","5730101","57.3",1,1,2018,1,10,"14:54:00",10.6208,25.3494,-81.6527,11,1.5,"-999",18.93,19.25,18.92,35.337,35.35,-999,9,7.14,223.1,2107.2,2,2384.1,2,8.0564,7.9812,2,1.06,0.25,0.72,0.099,2,-81.6527,25.3494,-81.6527,25.3494,11.2790632247925,4575,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","5720101","57.2",1,1,2018,1,10,"16:48:00",10.7,25.3506,-81.4891,8.3,1.5,"-999",18.35,18.67,18.38,35.085,35.11,-999,9,7.41,231.6,2127.2,2,2382.5,2,8.0271,7.9522,2,0.79,0.036,0.76,0.065,2,-81.4891,25.3506,-81.4891,25.3506,8.36661815643311,2945,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","5710101","57.1",1,1,2018,1,10,"18:27:00",10.7688,25.3505,-81.3351,5,1.5,"-999",18.68,19.04,17.68,31.948,34.62,-999,9,7.65,239.1,2154.9,2,2389.6,3,7.9921,7.9175,2,6.03,0.068,0.83,0.057,2,-81.3351,25.3505,-81.3351,25.3505,5.5090446472168,2278,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","570101","57",1,1,2018,1,10,"19:26:00",10.8097,25.3505,-81.2641,3.5,1.5,"-999",18.82,19.25,17.81,28.994,31.65,-999,9,8.23,257.2,2302.8,2,2542.9,2,7.9965,7.9219,2,12.08,0.037,1.22,0.056,2,-81.2641,25.3505,-81.2641,25.3505,3.75466084480286,2255,"SR","Shark River",NA
